

=== Money IN ===

Year   Count  Money, USD
----   -----  ----------
2012     10   1141996515.0
2013     42   3411686666.25
2014     6    792620000.0
2015     6    643494010.75
2016     13   3006452951.33
2017     15   1809892497.21
2018     61   3477883436.27
2019     67   3220101240.65

Year   Count  Money, UAH
----   -----  ----------
2012     84   35947875114.22
2013     96   48806341315.79
2014    101   65511720828.36
2015     7    9978361650.93
2016     82   37025296642.57
2017     74   32755014465.78
2018    168   65127792768.89
2019    144   166648572024.97

Year   Count  Money, EUR
----   -----  ----------
2012     3    316556848.0
2013     2    112272400.0
2014     1    40016000.0
2016     1    141335545.2
2017     3    133707947.0
2018     12   503158304.3
2019     9    189342812.72


=== Money OUT ===

Year   Count  Money, USD
----   -----  ----------
2013     6    710769135.0
2014     13   1411427512.0
2015     24   1937014237.0
2016     19   1430563348.0
2017     3    1057177625.95
2018     16   3380919682.03
2019     69   4437274499.87
2020     58   2652960324.95
2021     12   486020952.66

Year   Count  Money, UAH
----   -----  ----------
2012     78   22078590426.13
2013     81   20601746152.26
2014     57   20139743597.0
2015     33   17834787365.56
2016     57   28412883455.41
2017     74   25582783219.95
2018    147   82505027923.58
2019    201   137640577132.24
2020     98   52478955392.44
2021     40   40928508068.38
2022     17   13147773499.94
2023     11   13962469742.06
2024     7    7797855600.0
2025     4    21623585759.08

Year   Count  Money, EUR
----   -----  ----------
2013     3    327471248.0
2014     1    61112400.0
2015     1    40245600.0
2016     1    40016000.0
2018     2    210343009.8
2019     22   740022568.17
2020     1    17179031.25


= Money IN / Year: 2018 =

Month  Count  Money, USD
----   -----  ----------
01       2    137427714.85
02       0    0
03       3    669474638.21
04       0    0
05       3    272327658.16
06       4    539405990.21
07       4    130887798.16
08       5    382058046.07
09       8    47059364.45
10       15   724549612.66
11       6    82915767.8
12       11   491776845.7

Month  Count  Money, UAH
----   -----  ----------
01       14   8528349866.72
02       17   8877464157.94
03       19   7376417214.68
04       9    2636404540.67
05       13   1542163196.75
06       12   4563371138.09
07       13   5528412329.45
08       16   6938468531.46
09       13   319146548.09
10       15   2516448741.05
11       13   1308850055.98
12       14   14992296448.01

Month  Count  Money, EUR
----   -----  ----------
01       0    0
02       0    0
03       1    123314299.8
04       1    83622757.44
05       1    64642608.87
06       0    0
07       1    60499432.29
08       1    69007464.6
09       1    1264582.7
10       4    57734892.14
11       0    0
12       2    43072266.46


= Money OUT / Year: 2018 =

Month  Count  Money, USD
----   -----  ----------
01       1    431311450.11
02       0    0
03       1    651141684.05
04       0    0
05       1    112780822.5
06       3    531742108.93
07       2    205854090.13
08       1    368289246.68
09       1    100143143.2
10       2    516032613.0
11       2    330734729.95
12       2    132889793.48

Month  Count  Money, UAH
----   -----  ----------
01       9    2079863244.1
02       12   6893179749.05
03       5    2353627394.0
04       11   11928608859.52
05       16   10204629868.67
06       10   4099700623.14
07       15   12336312101.89
08       11   3544512572.72
09       11   2980872077.0
10       21   10258004023.21
11       17   12232893799.54
12       9    3592823610.74

Month  Count  Money, EUR
----   -----  ----------
01       0    0
02       0    0
03       0    0
04       0    0
05       0    0
06       0    0
07       0    0
08       0    0
09       0    0
10       2    210343009.8
11       0    0
12       0    0

